artist,song,version,UG link,
Lukas Graham,7 Years,2,https://tabs.ultimate-guitar.com/tab/lukas-graham/7-years-chords-1752864
Lynyrd Skynyrd,Sweet Home Alabama,2,https://tabs.ultimate-guitar.com/tab/lynyrd-skynyrd/sweet-home-alabama-chords-1053582
Måns Zelmerlöw,Heroes,2,https://tabs.ultimate-guitar.com/tab/1719653
Mark Ronson,Nothing Breaks Like A Heart,1,https://tabs.ultimate-guitar.com/tab/mark-ronson/nothing-breaks-like-a-heart-chords-2531568
Maroon 5,She Will Be Loved,3,https://tabs.ultimate-guitar.com/tab/maroon-5/she-will-be-loved-chords-995857
Metallica,Nothing Else Matters,3,https://tabs.ultimate-guitar.com/tab/metallica/nothing-else-matters-chords-830604
Metallica,The Unforgiven,1,https://tabs.ultimate-guitar.com/tab/metallica/the-unforgiven-chords-8676
Michael Jackson,Billie Jean,3,https://tabs.ultimate-guitar.com/tab/michael-jackson/billie-jean-chords-855230
Michael Jackson,Heal The World,1,https://tabs.ultimate-guitar.com/tab/michael-jackson/heal-the-world-chords-71843
Miley Cyrus,Summertime Sadness,1,https://tabs.ultimate-guitar.com/tab/miley-cyrus/summertime-sadness-chords-1895890
Milky Chance,Stolen Dance,1,https://tabs.ultimate-guitar.com/tab/milky-chance/stolen-dance-chords-1243327
Misc Cartoons,Aladdin - A Whole New World,1,https://tabs.ultimate-guitar.com/tab/misc-cartoons/aladdin-a-whole-new-world-chords-171361
Misc Cartoons,Frozen - Let It Go,1,https://tabs.ultimate-guitar.com/tab/misc-cartoons/frozen-let-it-go-chords-1445224
Misc Cartoons,Le Livre De La Jungle - Il En Faut Peu Pour Être Heureux,1,https://tabs.ultimate-guitar.com/tab/1514190
Misc Cartoons,Mulan - Ill Make A Man Out Of You,1,https://tabs.ultimate-guitar.com/tab/misc-cartoons/mulan-ill-make-a-man-out-of-you-chords-786891
Misc Cartoons,Pocahontas - Lair Du Vent,1,https://tabs.ultimate-guitar.com/tab/misc-cartoons/pocahontas-lair-du-vent-chords-1759067
Misc Cartoons,Pokemon Theme,4,https://tabs.ultimate-guitar.com/tab/misc-cartoons/pokemon-theme-chords-938502
Misc Cartoons,Spirited Away - Itsumo Nando,3,https://tabs.ultimate-guitar.com/tab/misc-cartoons/spirited-away-itsumo-nando-chords-1744061
Misc Soundtrack,A Star Is Born - Shallow,1,https://tabs.ultimate-guitar.com/tab/misc-soundtrack/a-star-is-born-shallow-chords-2480119
Misc Soundtrack,La La Land - City Of Stars,5,https://tabs.ultimate-guitar.com/tab/misc-soundtrack/la-la-land-city-of-stars-chords-1914825
Misc Television,The Witcher - Toss A Coin To Your Witcher,2,https://tabs.ultimate-guitar.com/tab/misc-television/the-witcher-toss-a-coin-to-your-witcher-chords-2935904
Monty Python,Always Look On The Bright Side Of Life,1,https://tabs.ultimate-guitar.com/tab/monty-python/always-look-on-the-bright-side-of-life-chords-76791
Neil Young,The Needle And The Damage Done,2,https://tabs.ultimate-guitar.com/tab/neil-young/the-needle-and-the-damage-done-chords-1053971
New Order,Blue Monday,1,https://tabs.ultimate-guitar.com/tab/new-order/blue-monday-chords-318349
Nickelback,How You Remind Me,1,https://tabs.ultimate-guitar.com/tab/nickelback/how-you-remind-me-chords-1447325
Nightwish,Meadows Of Heaven,1,https://tabs.ultimate-guitar.com/tab/nightwish/meadows-of-heaven-chords-605856
Nightwish,Sleeping Sun,1,https://tabs.ultimate-guitar.com/tab/nightwish/sleeping-sun-chords-77362
Nightwish,The Islander,1,https://tabs.ultimate-guitar.com/tab/nightwish/the-islander-chords-692447
Nirvana,Smells Like Teen Spirit,1,https://tabs.ultimate-guitar.com/tab/nirvana/smells-like-teen-spirit-chords-807883
No Doubt,Dont Speak,1,https://tabs.ultimate-guitar.com/tab/no-doubt/dont-speak-chords-445952
Oasis,Dont Look Back In Anger,1,https://tabs.ultimate-guitar.com/tab/oasis/dont-look-back-in-anger-chords-6097
Oasis,Wonderwall,3,https://tabs.ultimate-guitar.com/tab/oasis/wonderwall-chords-39144
Of Monsters and Men,Black Water,1,https://tabs.ultimate-guitar.com/tab/of-monsters-and-men/black-water-chords-1742381
Of Monsters and Men,Crystals,1,https://tabs.ultimate-guitar.com/tab/of-monsters-and-men/crystals-chords-1721172
Of Monsters and Men,Dirty Paws,1,https://tabs.ultimate-guitar.com/tab/of-monsters-and-men/dirty-paws-chords-1104999
Of Monsters and Men,Human,1,https://tabs.ultimate-guitar.com/tab/of-monsters-and-men/human-chords-1743313
Of Monsters and Men,King And Lionheart,1,https://tabs.ultimate-guitar.com/tab/of-monsters-and-men/king-and-lionheart-chords-1104958
Of Monsters and Men,Little Talks,1,https://tabs.ultimate-guitar.com/tab/of-monsters-and-men/little-talks-chords-1046763
Of Monsters and Men,Love Love Love,1,https://tabs.ultimate-guitar.com/tab/of-monsters-and-men/love-love-love-chords-1105006
Of Monsters and Men,Mountain Sound,1,https://tabs.ultimate-guitar.com/tab/of-monsters-and-men/mountain-sound-chords-1146922
Of Monsters and Men,Silhouettes,4,https://tabs.ultimate-guitar.com/tab/of-monsters-and-men/silhouettes-chords-1433806
Of Monsters and Men,Wolves Without Teeth,1,https://tabs.ultimate-guitar.com/tab/of-monsters-and-men/wolves-without-teeth-chords-1742364
OneRepublic,Apologize,1,https://tabs.ultimate-guitar.com/tab/onerepublic/apologize-chords-567175
Papa Roach,Born For Greatness,1,https://tabs.ultimate-guitar.com/tab/papa-roach/born-for-greatness-chords-2005929
